documento;arquivo;codigo_topico;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;sessoes_v4_1_fundidas;tipos_sessao_v4_1;conteudos_v4_1;decisao_pedagogica
464;464_M17_14_DOCUMENTACAO_PROFISSIONAL.md;M17.14;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Documentação profissional;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;README, diagramas, decisões, como rodar, endpoints e evidências. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | README, diagramas, decisões, como rodar, endpoints e evidências. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | README, diagramas, decisões, como rodar, endpoints e evidências. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | README, diagramas, decisões, como rodar, endpoints e evidências. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
465;465_M17_15_BANCA_TECNICA_DO_PROJETO.md;M17.15;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Banca técnica do projeto;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;apresentação, perguntas, trade-offs e defesa. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | apresentação, perguntas, trade-offs e defesa. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | apresentação, perguntas, trade-offs e defesa. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | apresentação, perguntas, trade-offs e defesa. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
466;466_M17_16_CURRICULO_E_LINKEDIN.md;M17.16;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Currículo e LinkedIn;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;narrativa QA -> Java Backend, projetos e palavras-chave. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | narrativa QA -> Java Backend, projetos e palavras-chave. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | narrativa QA -> Java Backend, projetos e palavras-chave. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | narrativa QA -> Java Backend, projetos e palavras-chave. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
467;467_M17_17_ENTREVISTA_JAVA.md;M17.17;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Entrevista Java;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;POO, collections, exceptions, generics, streams, concorrência. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | POO, collections, exceptions, generics, streams, concorrência. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | POO, collections, exceptions, generics, streams, concorrência. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | POO, collections, exceptions, generics, streams, concorrência. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
468;468_M17_18_ENTREVISTA_SPRING_JPA.md;M17.18;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Entrevista Spring/JPA;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;DI, transação, lazy, N+1, REST, testes e segurança. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | DI, transação, lazy, N+1, REST, testes e segurança. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | DI, transação, lazy, N+1, REST, testes e segurança. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | DI, transação, lazy, N+1, REST, testes e segurança. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
469;469_M17_19_ENTREVISTA_ARQUITETURA.md;M17.19;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Entrevista arquitetura;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;microserviços, eventos, cloud, observabilidade e design. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | microserviços, eventos, cloud, observabilidade e design. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | microserviços, eventos, cloud, observabilidade e design. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | microserviços, eventos, cloud, observabilidade e design. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
470;470_M17_20_LIVE_CODING.md;M17.20;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Live coding;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;leitura, plano, implementação, testes e comunicação. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | leitura, plano, implementação, testes e comunicação. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | leitura, plano, implementação, testes e comunicação. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | leitura, plano, implementação, testes e comunicação. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
471;471_M17_21_COMO_ENSINAR_O_QUE_APRENDEU.md;M17.21;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Como ensinar o que aprendeu;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;roteiro, analogias, exemplos, perguntas, rubricas e curso. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | roteiro, analogias, exemplos, perguntas, rubricas e curso. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | roteiro, analogias, exemplos, perguntas, rubricas e curso. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | roteiro, analogias, exemplos, perguntas, rubricas e curso. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
472;472_M17_22_PREPARACAO_DE_AULAS_NA_PLATAFORMA.md;M17.22;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Preparação de aulas na plataforma;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;leitor, código, explicação, exercícios, checklist e progresso. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | leitor, código, explicação, exercícios, checklist e progresso. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | leitor, código, explicação, exercícios, checklist e progresso. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | leitor, código, explicação, exercícios, checklist e progresso. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
473;473_M17_23_BANCA_FINAL_DA_FORMACAO.md;M17.23;M17;Projeto final, carreira, entrevistas e capacidade de ensinar;Consolidar a formação em um projeto de portfólio, defesa técnica, preparação de entrevistas e transformação do conhecimento em curso ensinável.;M13 - Projeto final, carreira e entrevistas;Banca final da formação;projeto;4;Planejamento, requisitos e critérios de aceite | Implementação guiada incremental | Implementação solo e expansão | Revisão, testes, documentação e entrega;projeto, teoria, arquitetura, operação, carreira e próximos passos. Nesta sessão: definir escopo, entradas, saídas, regras, riscos, tarefas e DoD. | projeto, teoria, arquitetura, operação, carreira e próximos passos. Nesta sessão: codar a primeira fatia vertical com commits pequenos e validação. | projeto, teoria, arquitetura, operação, carreira e próximos passos. Nesta sessão: ampliar funcionalidade, cobrir regras, tratar erros e melhorar organização. | projeto, teoria, arquitetura, operação, carreira e próximos passos. Nesta sessão: validar, testar, revisar, documentar, commitar e preparar explicação.;fundir micro-sessões da v4.1 em uma aula mentorada completa
474;474_M0_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M0.REV.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Revisão cumulativa do módulo;base;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
475;475_M0_REV_02_PROVA_PRATICA_DO_MODULO.md;M0.REV.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Prova prática do módulo;base;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
476;476_M0_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M0.REV.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Refatoração ou melhoria final do módulo;base;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
477;477_M0_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M0.REV.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Aula ensinável do módulo;base;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
478;478_M1_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M1.REV.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Revisão cumulativa do módulo;base;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
479;479_M1_REV_02_PROVA_PRATICA_DO_MODULO.md;M1.REV.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Prova prática do módulo;base;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
480;480_M1_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M1.REV.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Refatoração ou melhoria final do módulo;base;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
481;481_M1_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M1.REV.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Aula ensinável do módulo;base;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
482;482_M2_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M2.REV.01;M2;Java Core profundo e APIs essenciais da linguagem;Aprofundar fundamentos internos do Java para evitar base fraca: memória, objetos, String, wrappers, datas, números, imutabilidade, annotations e recursos modernos.;Expansão profunda de M1/M3 da v3;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
483;483_M2_REV_02_PROVA_PRATICA_DO_MODULO.md;M2.REV.02;M2;Java Core profundo e APIs essenciais da linguagem;Aprofundar fundamentos internos do Java para evitar base fraca: memória, objetos, String, wrappers, datas, números, imutabilidade, annotations e recursos modernos.;Expansão profunda de M1/M3 da v3;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
484;484_M2_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M2.REV.03;M2;Java Core profundo e APIs essenciais da linguagem;Aprofundar fundamentos internos do Java para evitar base fraca: memória, objetos, String, wrappers, datas, números, imutabilidade, annotations e recursos modernos.;Expansão profunda de M1/M3 da v3;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
485;485_M2_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M2.REV.04;M2;Java Core profundo e APIs essenciais da linguagem;Aprofundar fundamentos internos do Java para evitar base fraca: memória, objetos, String, wrappers, datas, números, imutabilidade, annotations e recursos modernos.;Expansão profunda de M1/M3 da v3;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
486;486_M3_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M3.REV.01;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
487;487_M3_REV_02_PROVA_PRATICA_DO_MODULO.md;M3.REV.02;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
488;488_M3_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M3.REV.03;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
489;489_M3_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M3.REV.04;M3;Métodos, organização procedural e projetos console;Transformar código solto em programas organizados, com funções pequenas, responsabilidades claras, leitura crítica e projetos console robustos antes da orientação a objetos.;Aulas v3 19, 21, 22 e 23 expandidas;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
490;490_M4_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M4.REV.01;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
491;491_M4_REV_02_PROVA_PRATICA_DO_MODULO.md;M4.REV.02;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
492;492_M4_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M4.REV.03;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
493;493_M4_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M4.REV.04;M4;Orientação a Objetos de verdade e modelagem de domínio;Ensinar POO como modelagem de problema real, não só sintaxe de classe, preparando domínio empresarial, encapsulamento e objetos válidos.;M2 - Orientação a Objetos de verdade;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
494;494_M5_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M5.REV.01;M5;Collections, Generics, Streams e Java moderno;Dominar estruturas de dados e APIs modernas do Java com critério de escolha, performance, legibilidade e aplicação em relatórios e regras backend.;M3 - Collections, dados e Java moderno;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
495;495_M5_REV_02_PROVA_PRATICA_DO_MODULO.md;M5.REV.02;M5;Collections, Generics, Streams e Java moderno;Dominar estruturas de dados e APIs modernas do Java com critério de escolha, performance, legibilidade e aplicação em relatórios e regras backend.;M3 - Collections, dados e Java moderno;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
496;496_M5_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M5.REV.03;M5;Collections, Generics, Streams e Java moderno;Dominar estruturas de dados e APIs modernas do Java com critério de escolha, performance, legibilidade e aplicação em relatórios e regras backend.;M3 - Collections, dados e Java moderno;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
497;497_M5_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M5.REV.04;M5;Collections, Generics, Streams e Java moderno;Dominar estruturas de dados e APIs modernas do Java com critério de escolha, performance, legibilidade e aplicação em relatórios e regras backend.;M3 - Collections, dados e Java moderno;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
498;498_M6_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M6.REV.01;M6;Código limpo, SOLID, refatoração e design patterns;Evoluir de código que funciona para código sustentável, legível, testável e preparado para mudança.;M4 - Código limpo, SOLID e design patterns;Revisão cumulativa do módulo;avancado;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
499;499_M6_REV_02_PROVA_PRATICA_DO_MODULO.md;M6.REV.02;M6;Código limpo, SOLID, refatoração e design patterns;Evoluir de código que funciona para código sustentável, legível, testável e preparado para mudança.;M4 - Código limpo, SOLID e design patterns;Prova prática do módulo;avancado;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
500;500_M6_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M6.REV.03;M6;Código limpo, SOLID, refatoração e design patterns;Evoluir de código que funciona para código sustentável, legível, testável e preparado para mudança.;M4 - Código limpo, SOLID e design patterns;Refatoração ou melhoria final do módulo;avancado;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
501;501_M6_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M6.REV.04;M6;Código limpo, SOLID, refatoração e design patterns;Evoluir de código que funciona para código sustentável, legível, testável e preparado para mudança.;M4 - Código limpo, SOLID e design patterns;Aula ensinável do módulo;avancado;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
502;502_M7_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M7.REV.01;M7;Build, Git profissional, Maven, Gradle e qualidade estática;Dominar ferramentas que sustentam projetos profissionais: build, dependências, versionamento, revisão, qualidade e automação local.;M5 - Maven, Git profissional e testes;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
503;503_M7_REV_02_PROVA_PRATICA_DO_MODULO.md;M7.REV.02;M7;Build, Git profissional, Maven, Gradle e qualidade estática;Dominar ferramentas que sustentam projetos profissionais: build, dependências, versionamento, revisão, qualidade e automação local.;M5 - Maven, Git profissional e testes;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
504;504_M7_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M7.REV.03;M7;Build, Git profissional, Maven, Gradle e qualidade estática;Dominar ferramentas que sustentam projetos profissionais: build, dependências, versionamento, revisão, qualidade e automação local.;M5 - Maven, Git profissional e testes;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
505;505_M7_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M7.REV.04;M7;Build, Git profissional, Maven, Gradle e qualidade estática;Dominar ferramentas que sustentam projetos profissionais: build, dependências, versionamento, revisão, qualidade e automação local.;M5 - Maven, Git profissional e testes;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
506;506_M8_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M8.REV.01;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
507;507_M8_REV_02_PROVA_PRATICA_DO_MODULO.md;M8.REV.02;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
508;508_M8_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M8.REV.03;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
509;509_M8_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M8.REV.04;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
510;510_M9_REV_01_REVISAO_CUMULATIVA_DO_MODULO.md;M9.REV.01;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Revisão cumulativa do módulo;intermediario;1;Revisão, avaliação e ensino;revisar todos os tópicos, montar mapa de dependências, responder perguntas abertas e fechar lacunas;manter como aula de revisão, avaliação ou fechamento
511;511_M9_REV_02_PROVA_PRATICA_DO_MODULO.md;M9.REV.02;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Prova prática do módulo;intermediario;1;Revisão, avaliação e ensino;resolver exercício integrador sem copiar, com tempo controlado e explicação oral;manter como aula de revisão, avaliação ou fechamento
512;512_M9_REV_03_REFATORACAO_OU_MELHORIA_FINAL_DO_MODULO.md;M9.REV.03;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Refatoração ou melhoria final do módulo;intermediario;1;Revisão, avaliação e ensino;melhorar código/projeto do módulo com foco em qualidade, nomes, organização e testes quando aplicável;manter como aula de revisão, avaliação ou fechamento
513;513_M9_REV_04_AULA_ENSINAVEL_DO_MODULO.md;M9.REV.04;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Aula ensinável do módulo;intermediario;1;Revisão, avaliação e ensino;transformar o que foi aprendido em roteiro didático para ensinar outra pessoa no Java Course Studio;manter como aula de revisão, avaliação ou fechamento
